LST_rur,date,rural_n,urban_n,LST_urb,SUHI,is_extreme
1.384413631049918,2.4141120807886516,2015-11-11,2010,4348,1.0296984497387336,0
7.651550149700628,9.123117035242794,2015-11-12,1363,1787,1.471566885542166,1
1.2239510599693115,2.2428155602382147,2015-11-13,1176,3363,1.0188645002689032,0
-3.8021303489869944,-2.1671464684073682,2015-11-14,916,3969,1.6349838805796262,0
3.5156783397254645,4.339721420623877,2015-11-15,218,4174,0.8240430808984125,0
2.4615006534704396,4.649615426616392,2015-11-16,3136,3928,2.1881147731459523,0
-0.006161977557303881,0.5766674117398995,2015-11-17,48,317,0.5828293892972034,0
4.018251719739322,5.140040723200733,2015-11-19,1345,3491,1.1217890034614113,0
-2.2144514374514137,-1.1509187957004756,2015-11-20,100,3858,1.063532641750938,0
-5.940236350160561,-6.170485127718643,2015-11-22,47,114,-0.23024877755808237,0
-6.831519766153534,-6.579799181707055,2015-11-23,2989,1119,0.2517205844464785,0
-9.595071049687846,-5.264387487516953,2015-11-24,2172,1097,4.330683562170893,0
-1.8375054057404974,0.1635343983300117,2015-11-25,5191,4655,2.0010398040705093,0
-3.5555867141150275,-2.0321273465113774,2015-11-29,3155,4843,1.52345936760365,0
-3.504491564856973,-6.560438935614517,2015-11-30,357,769,-3.055947370757544,0
2.4938783789679024,1.7937576097985504,2015-12-01,1612,435,-0.7001207691693521,0
-2.689963113490461,-3.8091537544695844,2015-12-02,696,60,-1.1191906409791232,0
-1.4454883209772824,-1.89395249916937,2015-12-03,646,2761,-0.4484641781920875,0
-0.6858851050873065,-1.0812500227718218,2015-12-04,1830,1297,-0.3953649176845153,0
-0.5957292542393471,0.8080465792422861,2015-12-05,381,132,1.403775833481633,0
-0.9602213225314755,-1.2995871513095538,2015-12-07,1884,4121,-0.3393658287780783,0
-2.229865808385244,-3.002749108967728,2015-12-08,229,235,-0.772883300582484,0
2.2627162948321597,3.150240023621073,2015-12-09,2723,2979,0.8875237287889131,1
0.7837379770741211,2.481979645757929,2015-12-10,895,40,1.6982416686838078,0
3.5670204257149285,3.2387798414489626,2015-12-11,180,3997,-0.3282405842659659,1
-0.3947444140242522,0.7569906880295314,2015-12-15,2548,4546,1.1517351020537836,0
-9.081846935155598,-8.368469190423493,2015-12-17,418,551,0.7133777447321048,0
-6.537649578562766,-5.356237937590096,2015-12-18,3996,4754,1.1814116409726694,0
-7.409809094122048,-6.543086920400863,2015-12-19,2843,4822,0.8667221737211852,0
-6.149087973122234,-5.057424693513579,2015-12-20,1297,1063,1.091663279608655,0
-3.6204915906036828,-1.1177633295459062,2015-12-22,85,92,2.5027282610577766,0
4.228301468511748,3.835707116590988,2015-12-23,554,181,-0.39259435192075953,1
1.5049249724137772,1.261815234154625,2015-12-24,1116,1049,-0.24310973825915227,0
-1.8851367459182269,-0.7496634248430122,2015-12-25,1412,324,1.1354733210752146,0
1.3222835130971053,1.0605686678864787,2015-12-26,38,1289,-0.2617148452106266,0
-5.112604404394953,-1.5942119775170174,2015-12-29,1333,2414,3.518392426877936,0
-8.635731652265658,-9.466731772254064,2015-12-30,615,539,-0.8310001199884063,0
-11.437108424285176,-9.731796214256926,2015-12-31,649,40,1.70531221002825,0
-5.869592409702141,-6.542433508746944,2016-01-01,1893,1746,-0.6728410990448035,0
-4.912683268831654,-5.087415245731084,2016-01-02,1751,651,-0.1747319768994302,0
-6.05117080159552,-5.673919908003011,2016-01-03,4567,5599,0.3772508935925085,0
-9.779623178958083,-6.121390313234039,2016-01-04,1663,865,3.6582328657240444,0
-9.686115326774724,-7.826170436162245,2016-01-05,3873,4063,1.8599448906124785,0
-10.112095206332677,-6.992074982958388,2016-01-06,799,55,3.120020223374289,0
-16.011575866036033,-7.28022212283837,2016-01-07,1073,374,8.731353743197662,0
-1.1859118441732481,0.020848588171262544,2016-01-09,663,1216,1.2067604323445107,1
-12.870532914921307,-11.788569494516153,2016-01-10,836,1030,1.0819634204051543,0
-15.689326390779517,-15.573722757033671,2016-01-11,1387,1910,0.11560363374584526,0
-26.89093071945182,-27.34612589201003,2016-01-12,41,97,-0.4551951725582093,0
-18.62170984276058,-17.500839585139083,2016-01-13,907,788,1.1208702576214975,0
0.9199010378433762,1.5178022970247234,2016-01-15,2556,2008,0.5979012591813472,1
-12.014605457428724,-12.901156644222556,2016-01-16,217,202,-0.8865511867938327,0
-18.101562752228674,-17.495022928123426,2016-01-18,1733,3127,0.6065398241052478,0
-17.687324414951803,-17.139139205556543,2016-01-19,2224,3642,0.5481852093952604,0
